,공원명,면적,공원주소,위도,경도
0,남산도시자연공원,2896887㎡ 2454140㎡ 442747㎡,서울특별시 중구 삼일대로 231(예장동),37.5556326132925,126.992217614712
1,길동생태공원,80683㎡,서울특별시 강동구 천호대로 1291(길동생태공원) ,37.5390660422084,127.153328745828
2,서울대공원,9132690㎡,경기도 과천시 대공원광장로 102,37.4364305503019,127.014098361931
3,서울숲,480994㎡,서울특별시 성동구 뚝섬로 273 (성수동1가) ,37.5430701468405,127.041799099222
4,월드컵공원,2284085㎡,서울특별시 마포구 하늘공원로 84(월드컵공원),37.5723265509352,126.881888633222
5,광화문시민열린마당,8948.1㎡,서울특별시 종로구 세종로 76-2,37.5752071090486,126.978413044806
6,진관근린공원(구파발폭포),23.18㎡  102㎡,서울특별시 은평구 진관동 393,37.637083378098,126.919058656228
7,중마루근린공원,6456㎡,서울특별시 영등포구 영등포동2가 222,37.5197916984599,126.911368630536
8,응봉공원,80309㎡,서울 성동구 난계로 61-46,37.5575958843951,127.023004390427
9,매화근린공원,1980.4㎡,서울특별시 강서구 등촌동 630-13,37.5574606524359,126.860947770892
10,성수근린공원,5197.7㎡ ,서울특별시 성동구 성수2가 3동 302-25,37.5448139376614,127.052421806499
11,샛마을근린공원,11467㎡ ,서울특별시 강동구 명일1동 288,37.5503003119836,127.14710389039
12,여의도근린공원,229539㎡,서울특별시 영등포구 여의공원로 68 (여의도동),37.5268088229325,126.922284053463
13,간데메근린공원,15179.7㎡ ,서울특별시 동대문구 서울시립대로2길 59(간데메공원),37.5727809772819,127.049064320439
14,훈련원근린공원,16734.60㎡ ,서울특별시 중구 을지로 227,37.5669291250632,127.004389310038
15,영등포근린공원,61544㎡ 40792㎡ 6600㎡ 14152㎡,서울특별시 영등포구 신길로 275,37.5161266236525,126.912126417071
16,보라매근린공원,424106㎡ ,서울특별시 동작구 여의대방로20길 33(보라매공원),37.4907114604033,126.922198893922
17,어린이대공원,560552㎡,서울특별시 광진구 능동로 216(어린이대공원),37.5520117024951,127.078772391405
18,천호근린공원,26696.8㎡ ,서울특별시 강동구 올림픽로 702(천호공원),37.5439476727563,127.125538378702
19,용산가족공원,75900㎡,서울특별시 용산구 서빙고로 185,37.5201168643347,126.984592154409
20,독립근린공원,113021.7㎡,서울특별시 서대문구 통일로251(독립공원),37.5746085138333,126.955611774864
21,낙산근린공원,201779㎡  ,서울특별시 종로구 낙산길 41 (우) 03085,,
22,양재시민의숲,258991㎡   ,서울특별시 서초구 매헌로 99 (양재동),37.4730498033959,127.036977084936
23,관악산도시자연공원,10420819.08㎡,서울특별시 관악구 관악로 1(관악산공원),37.468038057989,126.959294337648
24,효창근린공원,171294.1㎡ ,서울특별시 용산구 효창원로 177-18,37.544957405495,126.962290943049
25,감로천생태공원(관악산),15000㎡,서울 금천구 독산동 373,37.4696150596404,126.90791394038
26,개운산근린공원,297926㎡,서울특별시 성북구 북악산로 949-73(돈암동 6-1),37.5972067134377,127.025777287367
27,개웅산근린공원,411972㎡,서울특별시 구로구 오류동 산13-1,37.493179404841,126.847851799258
28,경희궁,98470㎡,서울특별시 종로구 새문안로 55(신문로2가 2-1),37.5704968494713,126.97107522045
29,국립현충원,2038741.3㎡,서울특별시 동작구 사당2동 산41-2,37.5021658184522,126.967417939446
30,계남근린공원,603715.2㎡,서울 양천구 신정동 521,37.5134017482207,126.850400291522
31,고척근린공원,108120㎡,서울특별시 구로구 고척로45길 39(고척공원),37.5065812423584,126.853275884576
32,파리근린공원,29619.3㎡ ,서울특별시 양천구 목동동로 363 ,37.5344770216787,126.877141869593
33,허준공원,29843.8㎡ ,서울특별시 강서구 허준로5길 42,37.5675982250856,126.853729825991
34,궁동근린공원,126026㎡ ,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,37.5687540803582,126.919576032707
35,궁산근린공원,135002.7㎡ ,서울특별시 강서구 가양동 산4-7,37.5741611064862,126.840805446203
36,까치산근린공원,384026㎡ ,서울 동작구 사당동 산 32-8,37.4865501143348,126.96373368702
37,꿩고개근린공원,180000㎡ ,서울특별시 강서구 방화동 산110,37.5801165268804,126.815976107159
38,노량진공원,416031㎡ ,서울 동작구 여의대방로44길 39,37.5108534853387,126.929587790617
39,답십리근린공원,160720㎡,서울특별시 동대문구 답십리로 209(답십리공원) ,37.573320107089,127.063817174774
40,대모산도시자연공원,2277252㎡ ,서울특별시 강남구 광평로10길 30-71(대모산공원) ,37.4775096139717,127.075017553171
41,탑골근린공원,19599.70㎡ ,서울특별시 종로구 종로 99,37.5706125034675,126.988058695758
42,갈산근린공원,138596㎡ ,서울특별시 양천구 신정동 162-56,37.5062050924777,126.868518506279
43,천마근린공원,185295㎡ ,서울 송파구 성내천로33가길 16,37.5000076303597,127.154544398276
44,도곡근린공원,254648㎡,서울특별시 강남구 도곡동 산31-1,37.4894218458727,127.044098731026
45,도산근린공원,29816.5㎡ ,서울특별시 강남구 도산대로45길 20(도산공원),37.5239508648976,127.035603166151
46,청량공원,762642㎡ ,서울특별시 성북구 화랑로18가길 50,37.6011947093961,127.050919089824
47,초안산근린공원,664905㎡ ,서울특별시 도봉구 창동 산157,37.6479179949756,127.045419684831
48,동명근린공원,99599.9㎡ ,서울특별시 강동구 고덕2동 229,37.5614676731183,127.164932597739
49,마로니에공원,5802㎡ ,서울특별시 종로구 대학로8길 1,37.581003261332,127.002423869595
50,자매근린공원,16500㎡  ,서울특별시 영등포구 의사당대로 166 (우) 07324,,
51,장지근린공원,585652㎡  ,서울특별시 송파구 장지동 산 11번지,37.4899814121246,127.136165542059
52,명일근린공원,649709.6㎡ ,서울특별시 강동구 상일동 135,37.5517582803975,127.164598403887
53,방화근린공원,72132㎡,서울특별시 강서구 금낭화로 176(방화공원),37.5809322617353,126.81412070948
54,아시아근린공원,66027.8㎡,서울특별시 송파구 올림픽로 44 (잠실동),37.5106823860183,127.075936810272
55,배봉산근린공원,265582㎡,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,37.5812122452058,127.067594333995
56,안산도시자연공원,2088704.9㎡,서울특별시 서대문구 홍제동 산33-98,37.5814879202223,126.945406202766
57,염창근린공원,112070㎡,서울특별시 강서구 염창동 산24-1,37.5577647064341,126.868791941346
58,백련근린공원,993724㎡,서울 서대문구 홍은동 산 11-96,37.5838378820699,126.933130027512
59,오금근린공원,219167㎡,서울특별시 송파구 오금로 363 오금근린공원 ,37.5051911812908,127.131652867637
60,오동근린공원,1349556.4㎡ ,서울특별시 강북구 번동 산20-1,37.6292422588766,127.033052305279
61,봉산도시자연공원,1511198㎡,서울 은평구 가좌로11가길 지하 38-11,37.597597216589,126.904136368743
62,온수도시자연공원,1097565㎡,서울특별시 구로구 개봉동 산2-60,37.5009046320956,126.838159844034
63,봉은공원,328018㎡,서울특별시 강남구 삼성동 75,37.5139124172416,127.055491837043
64,올림픽공원,1447122㎡,서울특별시 송파구 올림픽로 424 (방이동),37.5203396980951,127.115517876627
65,와룡근린공원,207790㎡ ,서울특별시 종로구 와룡공원길 192 (우) 03063,,
66,봉화산근린공원,1018689㎡,서울특별시 중랑구 묵동 산46-1,37.6086174482057,127.084236298283
67,북악산도시자연공원,954553㎡,서울특별시 종로구 부암동 산2-6,37.5996513562073,126.973740371578
68,북한산국립공원,1667848㎡,경기 고양시 덕양구 효자동 산 1-1,37.6742168693018,126.987254078672
69,외국인묘지공원,13224㎡,서울특별시 마포구 양화진길 46(외국인묘지공원),37.5465227992805,126.911769148865
70,불광근린공원,130345㎡,서울특별시 은평구 불광동 산33-1,37.6211009240235,126.930898267409
71,불암산도시자연공원,5332422㎡,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,37.6555053167396,127.081494871112
72,용마폭포공원,5107964㎡,서울특별시 중랑구 면목동 산1-4 ,37.573383957255,127.090942778547
73,사육신공원,47832㎡,서울특별시 동작구 노량진로 191,37.5134579901091,126.949411135441
74,용왕산근린공원,213552㎡,서울특별시 양천구 목동 199-51,37.5421447426774,126.87752068543
75,사직근린공원,168099.87㎡,서울특별시 종로구 사직로9길 5,37.5763070087568,126.968620728293
76,우장산근린공원,359435.2㎡,서울특별시 강서구 내발산동 산4-5,37.554944661775,126.844580685494
77,삼일근린공원,36660㎡,서울특별시 동작구 사당동 산24-17,37.4859101761481,126.974624516111
78,삼청근린공원,380735㎡ ,서울특별시 종로구 북촌로 134-1 (우) 03050,,
79,인왕산도시자연공원,1807420.9㎡,서울특별시 종로구 옥인동 산 3-1 ,37.5845055969599,126.963877217283
80,상도근린공원,359342.8㎡,서울특별시 동작구 성대로6사길 27-6(상도공원) ,37.4941118064266,126.937594360049
81,일자산도시자연공원,632733㎡,서울특별시 강동구 동남로 660(일자산공원),37.5330196344931,127.151356340452
82,쌍문근린공원,328018㎡,서울특별시 도봉구 쌍문동 산80,37.6535418440107,127.028796610408
83,수락산도시자연공원,6691885.3㎡,서울특별시 노원구 상계동 산3-1,37.6920670995472,127.065364973013
84,송파나루근린공원(석촌호수),285757㎡,서울 송파구 잠실동 47,37.507704547907,127.100563730672
